Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
1923,Babe Ruth,Yankees,152,699,41,151,131,17,24.30%,13.30%,0.372,0.423,0.393,0.545,0.764,0.571,231,-3.2,117.3,12.6,15,1011327
1921,Babe Ruth,Yankees,152,693,59,177,171,17,20.90%,11.70%,0.469,0.363,0.378,0.512,0.846,0.575,224,0.2,119.2,-0.2,13.9,1011327
1920,Babe Ruth,Yankees,142,615,54,158,137,14,24.40%,13.00%,0.473,0.365,0.376,0.533,0.849,0.598,239,-0.3,110.9,-4.7,13.3,1011327
1927,Babe Ruth,Yankees,151,691,60,158,164,7,19.80%,12.90%,0.417,0.338,0.356,0.486,0.772,0.545,212,-1.8,102.7,5.5,13,1011327
2002,Barry Bonds,Giants,143,612,46,117,110,9,32.40%,7.70%,0.429,0.33,0.37,0.582,0.799,0.544,244,-1.2,108.9,-2,12.7,1109
1924,Babe Ruth,Yankees,153,681,46,143,121,9,20.90%,11.90%,0.361,0.383,0.378,0.513,0.739,0.549,210,-1.5,100.5,2.5,12.5,1011327
1927,Lou Gehrig,Yankees,155,717,47,149,175,10,15.20%,11.70%,0.392,0.377,0.373,0.474,0.765,0.54,209,-2,103.3,-1.7,12.5,1004598
2001,Barry Bonds,Giants,153,664,73,129,137,13,26.70%,14.00%,0.536,0.266,0.328,0.515,0.863,0.537,235,1.3,118,-12,12.5,1109
1924,Rogers Hornsby,Cardinals,143,640,25,121,94,5,13.90%,5.00%,0.272,0.422,0.424,0.507,0.696,0.537,221,-2,94.2,11.4,12.5,1006030
1926,Babe Ruth,Yankees,152,652,47,139,150,11,22.10%,11.70%,0.366,0.368,0.372,0.516,0.737,0.551,216,-2,98.6,-1.6,12,1011327
2004,Barry Bonds,Giants,147,617,45,129,101,6,37.60%,6.60%,0.45,0.31,0.362,0.609,0.812,0.537,233,-0.3,105.7,-4.4,11.9,1109
1908,Honus Wagner,Pirates,151,641,10,100,109,53,8.40%,,0.188,,0.354,0.415,0.542,0.459,194,5.9,66.5,10.3,11.8,1013485
1946,Ted Williams,Red Sox,150,672,38,142,123,0,23.20%,6.50%,0.325,0.319,0.342,0.497,0.667,0.525,215,-0.5,87.3,-2.5,11.8,1014040
1942,Ted Williams,Red Sox,150,671,36,141,137,3,21.60%,7.60%,0.291,0.345,0.356,0.499,0.648,0.524,209,-0.6,86.1,-1.5,11.6,1014040
1956,Mickey Mantle,Yankees,150,652,52,132,130,10,17.20%,15.20%,0.353,0.352,0.353,0.464,0.705,0.498,202,2.1,86.4,4.1,11.5,1008082
1917,Ty Cobb,Tigers,152,669,6,107,102,55,9.10%,5.10%,0.187,0.4,0.383,0.444,0.57,0.48,200,6.6,75.6,1.5,11.5,1002378
1957,Mickey Mantle,Yankees,144,623,34,121,94,16,23.40%,12.00%,0.3,0.378,0.365,0.512,0.665,0.498,217,2.7,88.9,0.2,11.4,1008082
1932,Jimmie Foxx,Athletics,154,701,58,151,169,3,16.50%,13.70%,0.385,0.36,0.364,0.469,0.749,0.522,198,-2.6,92.9,-0.9,11.3,1004285
1921,Rogers Hornsby,Cardinals,154,674,21,131,126,13,8.90%,7.10%,0.242,0.409,0.397,0.458,0.639,0.489,191,-0.7,77,14.3,11.2,1006030
1967,Carl Yastrzemski,Red Sox,161,680,44,112,121,10,13.40%,10.10%,0.295,0.308,0.326,0.418,0.622,0.454,194,-0.4,67,14.6,11.1,1014326
1948,Stan Musial,Cardinals,155,694,39,135,131,7,11.40%,4.90%,0.326,0.355,0.376,0.45,0.702,0.512,201,1.1,87.5,0.3,11.1,1009405
1929,Rogers Hornsby,Cubs,156,712,39,156,149,2,12.20%,9.10%,0.299,0.382,0.38,0.459,0.679,0.497,174,0.1,77.9,16.8,11.1,1006030
1941,Ted Williams,Red Sox,143,606,37,135,120,2,24.30%,4.50%,0.329,0.378,0.406,0.553,0.735,0.568,221,-1.7,95,-8.8,11,1014040
1911,Ty Cobb,Tigers,146,654,8,147,127,83,6.70%,,0.201,,0.42,0.467,0.621,0.506,189,10.7,84.6,0.4,11,1002378
1975,Joe Morgan,Reds,146,639,17,107,94,67,20.70%,8.10%,0.181,0.336,0.327,0.466,0.508,0.443,176,9.7,65.6,17.3,11,1009179
1948,Lou Boudreau,Indians,152,676,18,116,106,3,14.50%,1.30%,0.179,0.34,0.355,0.453,0.534,0.455,166,-0.6,56.6,29.4,10.9,1001234
1925,Rogers Hornsby,Cardinals,138,605,39,133,143,5,13.70%,6.40%,0.353,0.385,0.403,0.489,0.756,0.54,208,1.3,91.2,4.2,10.8,1006030
1905,Honus Wagner,Pirates,147,616,6,114,101,57,8.80%,,0.142,,0.363,0.427,0.505,0.444,165,6.1,53.9,22.9,10.8,1013485
1931,Babe Ruth,Yankees,145,663,46,149,163,5,19.30%,7.70%,0.328,0.35,0.373,0.495,0.7,0.525,206,-0.9,94.3,-8.2,10.7,1011327
1965,Willie Mays,Giants,157,638,52,118,112,9,11.90%,11.10%,0.328,0.286,0.317,0.398,0.645,0.448,186,0.3,63.2,14.8,10.7,1008315
1934,Lou Gehrig,Yankees,154,690,49,128,165,9,15.80%,4.50%,0.344,0.323,0.363,0.465,0.706,0.511,194,-0.8,90.3,-3.5,10.7,1004598
1922,Rogers Hornsby,Cardinals,154,704,42,141,152,17,9.20%,7.10%,0.321,0.392,0.401,0.459,0.722,0.52,198,-0.1,92.7,-8.2,10.6,1006030
1912,Tris Speaker,Red Sox,153,675,10,136,90,52,12.10%,,0.184,,0.383,0.464,0.567,0.483,190,4.1,77.9,4.2,10.6,1012309
1928,Babe Ruth,Yankees,154,684,54,163,142,4,20.00%,12.70%,0.386,0.301,0.323,0.463,0.709,0.51,200,-1.8,87.2,-4.7,10.6,1011327
1991,Cal Ripken,Orioles,162,717,34,99,114,6,7.40%,6.40%,0.243,0.304,0.323,0.374,0.566,0.405,154,0.8,46.9,31.8,10.6,1010978
1962,Willie Mays,Giants,162,706,49,130,141,18,11.00%,12.00%,0.311,0.286,0.304,0.384,0.615,0.428,163,2.9,58.7,20,10.5,1008315
1930,Babe Ruth,Yankees,145,676,49,150,153,10,20.10%,9.00%,0.373,0.336,0.359,0.493,0.732,0.517,205,-3,97.8,-4.2,10.5,1011327
1947,Ted Williams,Red Sox,156,693,32,125,114,0,23.40%,6.80%,0.292,0.332,0.343,0.499,0.634,0.508,207,-0.6,85.8,-6.7,10.5,1014040
1993,Barry Bonds,Giants,159,674,46,129,123,29,18.70%,11.70%,0.341,0.321,0.336,0.458,0.677,0.467,193,1,78.4,1.9,10.5,1109
1964,Willie Mays,Giants,157,665,47,121,111,19,12.30%,10.80%,0.311,0.268,0.296,0.383,0.607,0.424,173,2.1,57.1,17,10.5,1008315
1927,Rogers Hornsby,Giants,155,684,26,133,125,9,12.60%,5.60%,0.225,0.355,0.361,0.448,0.586,0.469,177,1.2,67.4,16.8,10.4,1006030
2018,Mookie Betts,Red Sox,136,614,32,129,80,30,13.20%,14.80%,0.294,0.368,0.346,0.438,0.64,0.449,185,6.9,69.1,11.6,10.4,13611
