"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Mike Trout","Angels","123","554","42","103","98","10","18.1 %","20.2 %",".360",".301",".294",".437",".654",".438","182","6.6","64.5","1.7","8.3","10155"
"Cody Bellinger","Dodgers","125","533","42","101","100","10","13.9 %","16.5 %",".347",".307",".314",".411",".662",".428","170","0.2","49.4","3.6","6.8","15998"
"Christian Yelich","Brewers","114","510","41","90","89","24","12.9 %","20.6 %",".354",".349",".329",".422",".683",".440","172","5.0","53.8","-4.0","6.4","11477"
"Ketel Marte","Diamondbacks","122","542","27","85","76","8","8.5 %","14.2 %",".253",".332",".318",".380",".571",".393","141","3.0","32.4","9.0","5.7","13613"
"Alex Bregman","Astros","124","552","31","96","86","4","16.8 %","12.7 %",".279",".268",".281",".408",".560",".401","157","-2.2","38.1","1.2","5.7","17678"
"Xander Bogaerts","Red Sox","125","564","27","96","96","4","11.0 %","18.1 %",".252",".339",".308",".383",".559",".390","141","2.0","31.6","6.7","5.6","12161"
"Rafael Devers","Red Sox","126","560","27","106","103","8","7.0 %","15.9 %",".262",".358",".331",".379",".593",".398","147","1.1","34.5","3.3","5.6","17350"
"Anthony Rendon","Nationals","114","503","28","92","101","3","9.7 %","14.3 %",".286",".329",".323",".400",".609",".410","152","0.6","35.5","3.6","5.4","12861"
"Ronald Acuna Jr.","Braves","129","599","36","106","88","30","10.4 %","24.5 %",".242",".348",".295",".379",".537",".382","134","5.3","32.6","1.7","5.2","18401"
"Marcus Semien","Athletics","128","587","22","92","61","7","11.8 %","14.3 %",".213",".290",".273",".359",".486",".356","125","0.8","19.7","12.1","5.1","12533"
"Matt Chapman","Athletics","124","530","29","82","71","0","10.4 %","20.6 %",".266",".275",".258",".342",".524",".359","127","0.0","18.3","13.3","4.9","16505"
"Mookie Betts","Red Sox","128","603","21","118","66","13","14.6 %","14.9 %",".218",".306",".285",".388",".503",".371","128","4.2","26.1","2.5","4.8","13611"
"J.T. Realmuto","Phillies","121","484","19","77","67","7","7.2 %","22.3 %",".204",".323",".277",".331",".481",".337","107","5.4","9.7","23.2","4.7","11739"
"Trevor Story","Rockies","115","520","28","93","74","18","8.5 %","25.2 %",".272",".350",".293",".360",".565",".381","120","5.2","19.1","11.2","4.6","12564"
"Kris Bryant","Cubs","122","533","26","91","63","2","11.6 %","21.2 %",".245",".325",".284",".383",".528",".382","135","3.2","28.4","0.8","4.5","15429"
"George Springer","Astros","96","446","27","74","68","5","11.7 %","19.7 %",".272",".313",".293",".379",".565",".389","149","1.0","29.2","1.6","4.5","12856"
"Michael Brantley","Astros","120","525","18","78","78","3","8.0 %","10.1 %",".204",".349",".337",".394",".541",".390","150","0.7","34.1","-6.1","4.5","4106"
"DJ LeMahieu","Yankees","116","522","21","88","86","4","6.9 %","13.8 %",".196",".354",".332",".378",".528",".379","137","-0.3","24.5","2.5","4.4","9874"
"Carlos Santana","Indians","126","547","30","91","79","4","17.0 %","14.6 %",".257",".297",".292",".413",".549",".398","147","0.5","33.7","-7.6","4.4","2396"
"Yoan Moncada","White Sox","99","417","22","60","63","7","7.4 %","27.8 %",".250",".385",".305",".361",".555",".378","139","4.0","25.0","5.1","4.3","17232"
"Javier Baez","Cubs","125","527","28","84","82","10","4.6 %","27.1 %",".251",".340",".281",".313",".533",".346","112","2.9","11.3","14.5","4.2","12979"
"Yasmani Grandal","Brewers","120","489","20","56","61","5","16.0 %","20.4 %",".212",".290",".257",".380",".469",".360","120","-3.6","9.4","17.6","4.2","11368"
"Max Muncy","Dodgers","124","516","33","87","87","4","15.1 %","24.2 %",".277",".283",".258",".374",".535",".378","137","2.2","27.4","-1.6","4.1","13301"
"Peter Alonso","Mets","127","544","40","76","97","1","11.0 %","25.7 %",".324",".290",".266",".369",".590",".391","147","-0.9","33.3","-9.1","4.1","19251"
"Francisco Lindor","Indians","110","503","22","75","55","18","7.4 %","14.7 %",".221",".311",".297",".351",".517",".357","120","0.0","12.6","10.3","3.9","12916"
"Nolan Arenado","Rockies","126","537","32","83","99","2","8.6 %","13.2 %",".258",".297",".304",".365",".563",".377","117","1.9","14.1","8.6","3.9","9777"
"Juan Soto","Nationals","117","519","29","85","84","12","15.8 %","19.8 %",".267",".317",".290",".403",".557",".398","144","-0.4","29.9","-6.7","3.9","20123"
"Max Kepler","Twins","118","535","34","87","84","1","10.1 %","16.3 %",".275",".239",".252",".333",".528",".355","120","-2.0","11.9","8.5","3.8","12144"
"Freddie Freeman","Braves","129","576","34","100","104","5","12.5 %","18.4 %",".269",".325",".303",".394",".571",".397","144","0.0","33.5","-13.5","3.8","5361"
"Jeff McNeil","Mets","105","442","15","67","55","4","6.3 %","14.0 %",".196",".366",".332",".400",".529",".391","147","-2.4","25.4","-1.7","3.7","15362"
"Josh Donaldson","Braves","126","534","29","75","73","3","14.4 %","24.7 %",".258",".308",".263",".378",".521",".376","130","-3.1","18.4","1.7","3.6","5038"
"Anthony Rizzo","Cubs","124","530","25","80","82","5","11.7 %","14.5 %",".236",".302",".291",".402",".527",".390","141","-4.3","24.5","-4.3","3.6","3473"
"Jorge Polanco","Twins","122","571","19","82","66","4","8.6 %","15.4 %",".199",".322",".295",".358",".494",".356","121","1.6","16.6","-0.4","3.5","13152"
"Paul DeJong","Cardinals","125","524","23","81","60","6","8.8 %","20.8 %",".211",".274",".247",".326",".458",".330","104","1.8","4.3","14.6","3.5","18015"
"Gleyber Torres","Yankees","118","493","32","84","76","4","8.7 %","20.3 %",".264",".302",".287",".350",".551",".370","131","-0.9","18.5","-1.1","3.4","16997"
"Hunter Dozier","Royals","106","449","22","60","70","2","10.5 %","23.2 %",".266",".333",".286",".363",".552",".376","135","-0.5","19.5","-1.0","3.3","15117"
