"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Cody Bellinger","Dodgers","55","237","20","50","52","7","14.3 %","13.1 %",".377",".364",".377",".464",".754",".488","212","0.5","34.6","2.2","4.4","15998"
"Mike Trout","Angels","52","232","12","38","33","6","22.0 %","15.9 %",".289",".294",".283",".457",".572",".424","172","2.7","23.9","3.3","3.5","10155"
"Christian Yelich","Brewers","50","218","21","44","45","10","15.6 %","17.4 %",".402",".287",".313",".427",".715",".449","180","1.5","24.0","-0.9","3.0","11477"
"Paul DeJong","Cardinals","55","239","8","41","26","4","12.1 %","17.2 %",".211",".321",".284",".385",".495",".376","135","3.5","14.4","6.2","2.8","18015"
"Alex Bregman","Astros","55","242","17","37","38","2","16.1 %","14.5 %",".301",".243",".270",".393",".571",".400","157","-1.3","16.0","3.4","2.8","17678"
"George Springer","Astros","48","216","17","41","43","4","11.6 %","20.8 %",".335",".315",".308",".389",".643",".421","171","1.3","20.6","-0.8","2.7","12856"
"Joey Gallo","Rangers","48","208","15","39","35","3","19.7 %","35.6 %",".352",".390",".273",".418",".624",".425","162","1.8","18.0","1.6","2.7","14128"
"Jorge Polanco","Twins","52","232","9","33","26","1","10.3 %","14.7 %",".248",".366",".335",".405",".583",".413","160","0.6","17.9","0.4","2.6","13152"
"Xander Bogaerts","Red Sox","53","239","10","43","37","1","12.6 %","19.2 %",".221",".333",".293",".381",".514",".379","134","1.3","11.6","5.8","2.5","12161"
"Javier Baez","Cubs","53","234","13","37","34","2","6.4 %","32.1 %",".266",".412",".307",".350",".573",".381","137","1.0","12.2","5.7","2.5","12979"
"Hunter Dozier","Royals","52","216","11","27","33","1","12.0 %","19.0 %",".276",".346",".314",".398",".589",".408","157","1.1","16.5","-0.4","2.3","15117"
"Kris Bryant","Cubs","51","231","13","43","35","1","14.3 %","16.9 %",".293",".293",".283",".403",".576",".408","155","2.2","18.5","-2.2","2.3","15429"
"Anthony Rendon","Nationals","42","182","10","41","34","1","12.6 %","16.5 %",".340",".342",".320",".423",".660",".439","174","0.6","17.8","-0.1","2.3","12861"
"Josh Bell","Pirates","55","237","18","42","51","0","9.7 %","20.3 %",".370",".367",".341",".405",".711",".450","184","-2.9","22.8","-6.9","2.3","13145"
"Nolan Arenado","Rockies","54","244","15","44","47","1","8.2 %","10.7 %",".286",".319",".332",".385",".618",".408","140","1.2","13.7","1.8","2.3","9777"
